rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Ben Streeter,43.24,35.75,39.84,43.64,46.23,35.75,49.37
2,Brandon Harnish,59.91,50.00,50.00,1:03.58,58.71,DNF,57.43
