rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007TIIN01,Teemu Tiinanen,4.360,4.510,5.030,4.190,8.770,4.190,4.630
2,2010RONK01,Niko Ronkainen,5.090,4.680,8.360,4.150,4.050,4.050,4.640
3,2007HELL01,Otto von Hellens,6.830,6.590,7.780,8.590,9.400,6.590,7.730
4,2008JUKK01,Konsta Jukka,6.310,8.160,8.410,11.590,6.660,6.310,7.740
5,2005GUST02,Tommy Gustavsson,23.580,14.580,14.220,12.880,11.220,11.220,13.890
6,2008MART07,Minerva Martiskainen,12.550,12.780,11.220,19.610,16.520,11.220,13.950
7,2009SEVE01,Frank Severinsen,38.880,20.130,43.430,19.220,13.880,13.880,26.080
8,2007GOUL01,Joey Gouly,51.870,34.180,76.070,-1,-2,34.180,-1
