rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2010ARBO01,Morten Arborg,29.520,18.580,14.300,8.750,15.160,8.750,16.010
2,2010RONK01,Niko Ronkainen,21.470,23.000,28.840,38.630,16.650,16.650,24.440
3,2007HELL01,Otto von Hellens,21.860,28.460,31.550,6.630,36.310,6.630,27.290
4,2005GUST02,Tommy Gustavsson,19.520,30.280,45.160,42.770,31.360,19.520,34.800
5,2007GOUL01,Joey Gouly,36.900,30.810,62.690,39.780,38.160,30.810,38.280
