rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005ASPE01,Lennart Aspelin,11.030,8.150,13.910,12.500,15.090,8.150,12.480
2,2006BUUS01,Henrik Buus Aagaard,12.470,14.720,9.250,12.880,13.580,9.250,12.980
3,2006JOHA01,Erik Johansson,16.020,10.550,11.460,16.900,20.710,10.550,14.790
4,2004KRIG01,Gunnar Krig,13.150,10.910,-1,17.470,25.650,10.910,18.760
5,2007HOLM01,Johan Holmedahl,22.060,22.590,10.470,16.220,26.550,10.470,20.290
6,2007GOUL01,Joey Gouly,23.430,49.220,24.300,18.960,25.440,18.960,24.390
7,2003VAND01,Lars Vandenbergh,52.650,40.150,25.750,29.360,32.940,25.750,34.150
8,2003LARS01,Anders Larsson,32.580,51.680,40.150,32.900,31.410,31.410,35.210
9,2006BITE01,Niklas Bitén,37.220,33.940,-1,-1,-2,33.940,-1
