rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007HOLM02,Tommy Holm,3.250,8.160,3.960,4.220,3.690,3.250,3.960
2,2007TIIN01,Teemu Tiinanen,3.410,4.150,3.580,-1,5.000,3.410,4.240
3,2005GUST01,Kenneth Gustavsson,5.500,5.970,5.220,6.550,5.020,5.020,5.560
4,2008JUKK01,Konsta Jukka,6.550,5.430,6.460,6.880,8.110,5.430,6.630
5,2007PYSS01,Okko Pyssysalo,6.210,8.090,5.900,7.180,11.690,5.900,7.160
6,2007HELL01,Otto von Hellens,-1,7.780,7.300,7.810,7.020,7.020,7.630
7,2005GUST02,Tommy Gustavsson,16.590,-1,20.400,15.220,16.630,15.220,17.870
