rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Aedan Bryant,19.80,18.58,19.20,18.58,20.46,21.03,19.75
2,Katie Hull,21.17,19.16,19.32,20.28,26.53,23.92,19.16
3,Vishwa Sankar,30.94,26.58,32.19,38.00,31.11,26.58,29.53
4,Stephen Griggs,1:03.61,55.14,1:05.36,1:01.94,1:03.54,1:19.39,55.14
5,Dalton Padgett,1:03.99,55.59,1:03.57,1:00.78,1:07.63,55.59,1:08.72
