rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005RAND01,Hampus Randén,-1,22.720,26.150,25.020,17.520,17.520,24.630
2,2004KRIG02,Kåre Krig,14.170,-1,12.210,11.390,-1,11.390,-1
3,2005LANG01,Linus Langsmo,-1,20.490,-1,-1,18.910,18.910,-1
