rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Jake Brown,1:04.60,54.55,1:18.02,1:09.90,54.55,59.19,1:04.70
2,Jacob Chambers,2:10.19,1:49.78,2:09.84,1:49.78,2:12.70,2:50.35,2:08.03
3,Charlie Stark,DNF,4:39.71,DNF,4:39.71,DNS,DNS,DNS
