rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Katie Hull,21.33,18.30,18.31,23.70,23.82,21.97,18.30
2,Vishwa Sankar,28.13,21.98,27.02,27.25,30.13,21.98,31.21
3,Dalton Padgett,43.99,35.38,35.38,51.35,45.98,41.79,44.20
4,Zachary White,1:07.40,49.59,1:15.64,2:33.59,1:04.50,49.59,1:02.06
5,Jacob Ambrose,1:18.19,51.15,1:13.46,1:25.91,1:15.20,1:51.32,51.15
6,Sean Hartman,1:43.32,1:20.19,1:38.06,1:20.19,1:39.21,1:55.65,1:52.69
7,Jacob Keener,1:54.22,1:45.11,1:55.09,1:45.11,1:50.18,1:57.38,2:43.97
8,Brandon Buchalter,1:59.82,1:42.90,1:42.90,2:25.11,1:58.92,1:58.52,2:02.01
