rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Katie Hull,22.02,19.09,20.72,28.62,22.64,22.70,19.09
2,Vishwa Sankar,26.79,23.35,26.92,24.64,28.82,23.35,29.11
3,Dalton Padgett,47.25,42.18,1:00.68,42.18,48.46,45.52,47.77
4,Zachary White,57.72,49.20,1:05.17,1:16.91,53.18,49.20,54.81
5,Jacob Ambrose,1:12.95,1:00.59,1:00.59,1:02.31,1:31.81,1:18.59,1:17.94
6,Sean Hartman,1:45.52,1:19.74,1:51.45,2:13.77,1:48.71,1:36.39,1:19.74
