rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Corey Sakowski,22.13,21.24,25.40,21.98,21.24,21.98,22.43
2,Blake Thompson,39.64,30.93,36.67,1:03.25,39.39,30.93,42.85
3,Stephen Griggs,52.54,44.30,55.46,50.49,51.66,44.30,1:01.53
