rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2009SERT01,Kadir Sertcanli,2.130,9.130,3.060,2.800,2.910,2.130,2.920
2,2007HOLM02,Tommy Holm,5.240,3.900,3.860,4.400,3.210,3.210,4.050
3,2007TIIN01,Teemu Tiinanen,6.480,4.440,3.870,5.250,3.650,3.650,4.520
4,2008RUND01,Johannes Rundberg,5.220,7.110,5.530,5.780,6.580,5.220,5.960
5,2009ZAND01,Timothy Zandelin,7.250,7.110,11.470,7.330,6.420,6.420,7.230
6,2005AKKE01,Erik Akkersdijk,13.150,11.470,9.900,8.910,9.010,8.910,10.130
