rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Stone Amsbaugh,34.43,31.03,31.03,32.84,47.49,36.29,34.16
2,Raymos Castillo,42.63,30.52,38.83,44.23,48.26,44.82,30.52
3,Miles Walcott,46.34,40.23,46.93,40.23,45.89,52.19,46.19
4,Junior Solis,DNF,1:55.07,1:55.07,2:10.21,DNS,DNS,DNS
5,David Reid,DNF,DNF,DNF,DNF,DNS,DNS,DNS
