rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2006OOKU02,Tatsuya Ookubo,19.440,15.910,33.430,14.300,15.020,14.300,16.790
2,2006SUZU01,Yohei Suzuki,14.810,-1,12.940,30.080,17.470,12.940,20.790
3,2007DODE01,Tomoya Dode,22.340,23.090,19.590,22.900,18.190,18.190,21.610
4,2006OOKU01,Takayuki Ookusa,28.470,37.470,22.590,20.750,13.550,13.550,23.940
5,2005TAKA01,Syoji Takamatsu,64.000,29.930,26.500,29.900,20.360,20.360,28.780
6,2006OKAY01,Yohei Oka,56.210,34.830,28.810,24.080,34.270,24.080,32.640
7,2006ARAK02,Yu Araki,67.470,41.030,20.020,61.530,32.630,20.020,45.060
8,2007SUGA01,Nobuaki Suga,-1,53.660,-1,59.770,52.330,52.330,-1
