rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007LAIR01,Johannes Laire,4.760,4.690,3.360,7.810,2.950,2.950,4.270
2,2005GUST01,Kenneth Gustavsson,6.340,6.550,6.900,6.810,5.540,5.540,6.570
3,2007TIIN01,Teemu Tiinanen,7.540,8.430,7.810,11.600,7.030,7.030,7.930
