rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Blake Thompson,46.85,36.78,45.84,36.78,47.80,52.73,46.92
2,Walker Welch,51.61,45.05,50.13,46.13,58.58,45.05,58.60
3,CJ Sheng,1:37.17,1:17.79,1:41.40,1:51.52,1:25.19,1:17.79,1:44.92
4,Nathaniel Gee,DNF,4:34.40,4:34.40,DNF,DNS,DNS,DNS
