rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Charles Jerome,21.22,17.88,21.42,17.88,21.77,20.47,23.18
2,Corey Sakowski,23.80,17.82,41.84,24.31,20.84,17.82,26.26
3,Brayden Adams,57.27,52.50,52.50,1:12.09,53.75,58.39,59.66
