rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005VANH01,Anssi Vanhala,16.610,16.060,15.940,16.900,16.040,15.940,16.240
2,2004KRIG01,Gunnar Krig,21.990,20.700,22.070,18.270,20.290,18.270,20.990
3,2006GERH01,Marcus Gerhardsson,28.840,24.180,25.840,26.890,30.360,24.180,27.190
4,2005KOHN01,Thomas Kohn,33.240,28.600,34.900,36.620,35.370,28.600,34.500
5,2005GUST02,Tommy Gustavsson,41.510,45.840,48.680,46.180,52.530,41.510,46.900
6,2006JOHA01,Erik Johansson,41.470,41.340,58.830,50.350,52.990,41.340,48.270
7,2005GUST01,Kenneth Gustavsson,52.400,-1,56.400,61.340,52.590,52.400,56.780
8,2006MOLL01,Albert Mollen,87.280,78.890,96.600,93.500,60.930,60.930,86.560
