rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,13.780,11.920,14.190,20.130,12.430,11.920,13.470
2,2005GUST01,Kenneth Gustavsson,16.530,17.590,24.510,18.680,24.800,16.530,20.260
3,2004KRIG02,Kåre Krig,42.130,43.900,25.400,37.190,32.850,25.400,37.390
4,2006GERH01,Marcus Gerhardsson,59.970,43.590,68.100,41.000,37.490,37.490,48.190
