rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005VANH01,Anssi Vanhala,53.420,53.620,-2,-2,-2,53.420,-2
2,2004KRIG01,Gunnar Krig,93.750,60.620,-2,-2,-2,60.620,-2
3,2004KRIG02,Kåre Krig,84.140,95.380,-2,-2,-2,84.140,-2
4,2006GERH01,Marcus Gerhardsson,88.380,96.920,-2,-2,-2,88.380,-2
5,2005KOHN01,Thomas Kohn,100.420,101.460,-2,-2,-2,100.420,-2
6,2005GUST01,Kenneth Gustavsson,147.830,162.590,-2,-2,-2,147.830,-2
7,2005GUST02,Tommy Gustavsson,152.740,149.650,-2,-2,-2,149.650,-2
8,2006JOHA01,Erik Johansson,192.270,158.160,-2,-2,-2,158.160,-2
