rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2008HASH02,Wataru Hashimura,26.810,20.930,27.460,23.810,26.180,20.930,25.600
2,2008TOMI01,Takahiro Tomisawa,50.430,38.520,56.210,46.690,42.750,38.520,46.620
3,2007KIUC01,Yuuji Kiuchi,95.150,65.030,80.530,82.520,68.680,65.030,77.240
4,2008SAJI01,Yu Sajima,85.110,94.880,75.500,77.770,84.360,75.500,82.410
5,2008SUGI01,Taki Sugimoto,136.690,102.910,129.340,123.520,122.800,102.910,125.220
