rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Corey Sakowski,24.13,23.80,23.93,28.69,24.16,23.80,24.29
2,Charles Jerome,27.22,21.85,25.93,32.95,28.19,27.53,21.85
3,Andrew A. Jones,DNF,DNF,DNF,DNF,DNS,DNS,DNS
