rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,10.670,12.460,11.970,12.450,26.340,10.670,12.290
2,2005ASPE01,Lennart Aspelin,12.510,16.840,20.500,8.920,9.320,8.920,12.890
3,2006GERH01,Marcus Gerhardsson,18.480,16.270,32.690,12.880,14.670,12.880,16.470
4,2005GUST01,Kenneth Gustavsson,21.600,17.460,27.930,22.190,18.020,17.460,20.600
5,2006JOHA01,Erik Johansson,22.000,21.780,29.130,28.330,27.770,21.780,26.030
6,2006BUUS01,Henrik Buus Aagaard,28.690,19.850,28.450,36.590,27.330,19.850,28.160
7,2004KRIG02,Kåre Krig,36.030,29.440,25.530,36.920,32.020,25.530,32.500
