rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2004KRIG01,Gunnar Krig,58.630,64.540,48.430,-2,-2,48.430,57.200
2,2005ASPE01,Lennart Aspelin,111.710,97.530,93.270,-2,-2,93.270,100.840
3,2005GUST01,Kenneth Gustavsson,102.650,110.860,117.590,-2,-2,102.650,110.370
