rank,name,average,best,attempt1,attempt2,attempt3,attempt4,attempt5
1,Ben Streeter,28.05,25.52,37.74,28.99,28.22,25.52,26.94
2,Stone Amsbaugh,38.89,31.35,37.80,41.12,41.47,31.35,37.74
