rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2005GUST01,Kenneth Gustavsson,5.080,4.560,4.660,6.020,5.190,4.560,4.980
2,2003LARS01,Anders Larsson,7.250,12.110,8.250,7.960,10.210,7.250,8.810
3,2008NORD01,Tommy Nordlander,9.150,12.680,8.580,-1,7.130,7.130,10.140
4,2008MOSS01,Jonatan Mossegård,13.150,15.280,11.440,14.050,11.460,11.440,12.890
5,2009BRUD01,Per Brudsten,12.000,21.400,21.190,14.800,10.970,10.970,16.000
6,2005GUST02,Tommy Gustavsson,10.440,18.830,-1,13.800,17.340,10.440,16.660
7,2009AXEL02,Tore Axelsson,80.080,45.690,31.210,42.840,56.180,31.210,48.240
8,2007HOLM02,Tommy Holm,4.150,3.560,4.050,-1,-1,3.560,-1
