rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2003RUET01,Jake Rueth,9.660,16.530,13.360,19.860,16.050,9.660,15.310
2,2007HEVE01,Noah Hevey,-1,18.310,13.500,13.330,16.770,13.330,16.190
3,2007ALIS01,Siraj Ali,10.970,34.800,17.580,35.190,22.380,10.970,24.920
4,2003BABC01,Peter Babcock,20.750,21.690,20.880,42.150,32.580,20.750,25.050
5,2007LOGA01,Bryan Logan,29.050,19.690,35.110,28.050,26.180,19.690,27.760
6,2003BURT01,Bob Burton,27.960,35.770,35.470,42.250,24.340,24.340,33.070
7,2007ANDE01,Paul Anderson,49.720,33.180,33.750,66.630,23.770,23.770,38.880
