rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2009SMIT05,Martin Smith,47.440,46.280,37.020,-2,-2,37.020,43.580
2,2007COOP01,Charlie Cooper,97.280,127.380,95.160,-2,-2,95.160,106.610
3,2009LUDL02,James Dean Ludlow,185.030,167.640,94.000,-2,-2,94.000,148.890
4,2009WHIT01,Ben Whitmore,190.630,223.250,469.590,-2,-2,190.630,294.490
5,2008DIXO01,Emily Dixon,-1,247.310,-1,-2,-2,247.310,-1
