rank,wcaID,name,attempt1,attempt2,attempt3,attempt4,attempt5,best,average
1,2007PERD01,Antoine Perdereau,87.710,75.690,-2,-2,-2,75.690,-2
2,2004GALL02,Clément Gallet,102.210,113.130,-2,-2,-2,102.210,-2
3,2006MATH01,Jean-Louis Mathieu,156.180,152.580,-2,-2,-2,152.580,-2
4,2005SIMO01,Antoine Simon-Chautemps,186.930,-1,-2,-2,-2,186.930,-2
5,2008HANK01,Kanneti Sae Han,467.400,372.650,-2,-2,-2,372.650,-2
6,2007DUSS01,Gaël Dusser,389.000,-1,-2,-2,-2,389.000,-2
